i0,count,percent
0,161,5.49
1,210,7.16
2,177,6.03
3,182,6.20
4,172,5.86
5,165,5.62
6,185,6.31
7,171,5.83
8,157,5.35
9,145,4.94
10,153,5.21
11,131,4.46
12,114,3.89
13,111,3.78
14,83,2.83
15,87,2.97
16,74,2.52
17,65,2.22
18,59,2.01
19,54,1.84
20,52,1.77
21,37,1.26
22,26,0.89
23,29,0.99
24,28,0.95
25,23,0.78
26,23,0.78
27,12,0.41
28,7,0.24
29,7,0.24
30,6,0.20
31,6,0.20
32,7,0.24
33,2,0.07
34,3,0.10
35,1,0.03
36,1,0.03
37,3,0.10
39,2,0.07
41,1,0.03
42,1,0.03
44,1,0.03
